代號,除息日,息值(元),前一日收盤價,除息參考價,20日後收盤價,60日後收盤價,120日後收盤價,240日後收盤價,20日最高價,60日最高價,120日最高價,240日最高價,industry,RSI10,RSI14,MOM5,MOM10,new_h_5,new_h_10,new_h_20,new_h_60,new_l_5,new_l_10,new_l_20,new_l_60,above_MA5,above_MA10,above_MA20,above_MA60,MA5>10,MA10>20,MA20>60,Bias5_P,Bias10_P,Bias20_P,Bias60_P,Bias5_V,Bias10_V,Bias20_V,Bias60_V,ROC_II_20,PE_level,ROE,DPR,dividend_yield,20日內填息,60日內填息,120日內填息,240日內填息,20日內位階,60日內位階,120日內位階,240日內位階,20日填息率,60日填息率,120日填息率,240日填息率,20日內賺錢,60日內賺錢,120日內賺錢,240日內賺錢,20日不設限填息率,60日不設限填息率,120日不設限填息率,240日不設限填息率
1773,2016-06-02,3.0,26.2,23.2,25.68,29.26,31.21,39.34,26.14,29.54,32.66,40.37,2,73.78741421100366,71.83017210677693,0.6499999999999986,2.1999999999999957,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.008522727272727128,0.020340481980986043,0.04011719630380886,0.05111317782375155,1.7697262479871176,2.273073263558516,3.814555633310007,5.767213114754099,18.387805547926405,4,5.02,0.6493506493506492,0.06500541711809317,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,-0.1733333333333332,1.0,1.0,1.0
6414,2016-06-20,8.82,351.06,342.24,358.08,395.24,349.78,309.07,367.57,417.37,431.6,431.6,3,58.61617015444338,58.29653848986208,-13.5,15.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.011746453900709245,0.00772626931567329,0.031463593741173815,0.08218095614381667,0.7032085561497327,0.39295867045703037,0.3684210526315789,0.03445475952039413,4.911297852474328,5,7.59,0.6224417784050813,0.019320920043811612,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
3030,2016-06-21,4.0,31.94,27.94,30.91,29.21,28.44,30.65,32.46,32.46,32.46,33.23,3,61.875556811779575,59.59764727260241,0.6999999999999957,2.1999999999999957,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.013716245177882723,0.01884760366182008,0.030725648289387605,0.019250107743140298,2.1545338441890167,2.134517766497462,2.8,2.552820840658463,7.422654598746581,5,3.45,1.2578616352201257,0.08456659619450317,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-0.2575000000000003,-0.6825000000000001,-0.875,-0.3225000000000007
5007,2016-06-21,2.0,46.75,44.75,48.09,45.25,42.18,42.81,48.49,48.49,48.49,48.49,2,55.39337081268868,53.9417997182836,0.5999999999999943,0.3999999999999986,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.003930560104814853,0.003601833660772703,0.006155108740254359,0.0008163265306121947,-0.36569222283508,-0.6100373007799254,-0.33420176581270805,0.0027612265659060853,16.47573783280123,5,5.44,0.5830903790087464,0.032626427406199025,0,0,0,0,0,-1,-1,-1,0.6700000000000017,0.0,0.0,0.0,1,0,0,0,0.6700000000000017,-0.75,-1.0,-1.0
6155,2016-06-22,1.1,14.49,13.39,14.27,15.49,15.02,16.28,14.6,16.62,16.62,21.57,3,66.84882548011785,62.19842919711739,0.4499999999999993,0.4499999999999993,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0.024430871737923247,0.025854879065888188,0.026711185308848043,0.025949953660796995,7.2105263157894735,10.063829787234043,13.377880184331799,13.670846394984327,4.095563139931757,3,1.63,0.8208955223880597,0.059620596205962065,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,-0.20000000000000057,1.0,1.0,1.0
2723,2016-06-22,2.5,195.97,193.47,222.52,232.18,184.86,236.22,226.36,251.86,251.86,258.59,2,49.45009453381777,50.541370278395156,5.0,2.5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.002479631597591175,0.002834868887313962,-0.006930432494078428,0.03093409428979084,-0.12071535022354687,-0.26980198019801976,-0.3614718614718615,-0.6015756893640968,-4.909890209658263,5,4.77,0.23430178069353325,0.0088339222614841,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
4979,2016-06-22,3.01,51.81,48.800000000000004,45.64,35.7,35.41,30.59,52.12,52.12,52.12,52.12,3,58.59590509647602,54.90926555040324,0.20000000000000284,1.2000000000000028,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.01188332733165293,0.02648401826484022,0.038337182448037,-0.03957618308435034,-0.0306009313326928,0.1983735380116958,-0.013817088072187235,0.13314325211681347,18.061796194597,4,-1.91,0.5384615384615384,0.053558718861209956,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0
4120,2016-06-22,1.8,44.31,42.510000000000005,56.95,51.52,52.37,61.96,60.09,60.09,60.09,68.41,2,45.43810247208458,49.56738078800772,-0.5,-1.8999999999999986,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,-0.009174311926605505,-0.014778325123152712,-0.022004889975550116,0.028751051770944138,0.518987341772152,0.560693641618497,-0.11547911547911544,-0.2600628033114474,-5.130293159609112,4,1.38,0.48648648648648646,0.03333333333333333,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
6024,2016-06-22,2.47,21.43,18.96,22.89,23.61,24.2,24.65,23.2,25.11,25.11,25.17,1,64.78649280345168,62.96323441575801,0.20000000000000284,1.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.006323893318669342,0.00757054370268418,0.021347844286312333,0.027008067344791352,2.005107832009081,1.8816326530612244,2.3839271449113277,3.008327024981075,3.412839380867805,4,4.11,0.5600907029478458,0.06748633879781421,0,1,1,1,0,1,1,1,0.5910931174089071,1.0,1.0,1.0,1,1,1,1,0.5910931174089071,1.0,1.0,1.0
2421,2016-06-22,1.5,15.49,13.99,19.13,19.82,19.4,30.82,19.51,21.8,21.8,32.91,3,54.43126387585673,49.91515893007896,0.6000000000000014,0.1999999999999993,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.017992424242424365,0.01823348330570682,0.008206330597889774,-0.05087738660192032,2.6623563218390807,3.1521420426779607,3.1480878763222133,0.7198376196205878,-9.009295866832945,4,3.6,0.7075471698113207,0.06976744186046512,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
